ORGAO;orgao_no;orgao_sg;nat_jur_orgao_co;nat_jur_orgao_no;orgao_vinc_co;orgao_vinc_no
101;SUPERIOR TRIBUNAL DE JUSTICA;STJ;1;ADMINISTRACAO DIRETA FEDERAL;101;SUPERIOR TRIBUNAL DE JUSTICA
102;FUNDACAO ASSEFAZ;ASSEFAZ;4;FUNDACAO FEDERAL;102;FUNDACAO ASSEFAZ
153;EMPRESA BRASILEIRA DE TELECOMUNICACOES;EMBRATEL;5;EMPRESA PUBLICA;153;EMPRESA BRASILEIRA DE TELECOMUNICACOES
157;GOVERNO DO ESTADO DO MARANHAO;ESTADO/MA;10;SERVICO PUBLICO ESTADUAL;157;GOVERNO DO ESTADO DO MARANHAO
159;PREFEITURA MUNICIPAL DE TRES PONTAS - MG;PMTP-MG;7;SERVICO PUBLICO MUNICIPAL;159;PREFEITURA MUNICIPAL DE TRES PONTAS - MG
160;ASSEMBLEIA LEGISLATIVA - MG;AL-MG;10;SERVICO PUBLICO ESTADUAL;160;ASSEMBLEIA LEGISLATIVA - MG
161;PREFEITURA MUNICIPAL DE BLUMENAU - SC;PREF.BLUME;7;SERVICO PUBLICO MUNICIPAL;161;PREFEITURA MUNICIPAL DE BLUMENAU - SC
162;TRIBUNAL REGIONAL ELEITORAL - BA;TRE-BA;1;ADMINISTRACAO DIRETA FEDERAL;162;TRIBUNAL REGIONAL ELEITORAL - BA
163;TRIBUNAL REGIONAL ELEITORAL - MT;TRE-MT;1;ADMINISTRACAO DIRETA FEDERAL;163;TRIBUNAL REGIONAL ELEITORAL - MT
164;TRIBUNAL REGIONAL ELEITORAL;TRE;1;ADMINISTRACAO DIRETA FEDERAL;164;TRIBUNAL REGIONAL ELEITORAL
165;TRIBUNAL REGIONAL ELEITORAL - RS;TRE-RS;1;ADMINISTRACAO DIRETA FEDERAL;165;TRIBUNAL REGIONAL ELEITORAL - RS
166;TRIBUNAL REGIONAL ELEITORAL - SP;TRE-SP;1;ADMINISTRACAO DIRETA FEDERAL;166;TRIBUNAL REGIONAL ELEITORAL - SP
167;TRIBUNAL REGIONAL ELEITORAL - RO;TRE-RO;1;ADMINISTRACAO DIRETA FEDERAL;167;TRIBUNAL REGIONAL ELEITORAL - RO
168;TRIBUNAL REGIONAL ELEITORAL - SC;TRE-SC;1;ADMINISTRACAO DIRETA FEDERAL;168;TRIBUNAL REGIONAL ELEITORAL - SC
4000;TRIBUNAL SUPERIOR DO TRABALHO;TST;1;ADMINISTRACAO DIRETA FEDERAL;4000;TRIBUNAL SUPERIOR DO TRABALHO
10000;SUPREMO TRIBUNAL FEDERAL;STF;1;ADMINISTRACAO DIRETA FEDERAL;10000;SUPREMO TRIBUNAL FEDERAL
12001;JUSTICA FEDERAL SC JUDI EST. DE SERGIPE;JUDFEDSE;10;SERVICO PUBLICO ESTADUAL;12001;JUSTICA FEDERAL SC JUDI EST. DE SERGIPE
12002;JUSTICA FEDERAL - AP;JF/AP;1;ADMINISTRACAO DIRETA FEDERAL;12002;JUSTICA FEDERAL - AP
